bus_name,phase,pp_bus_idx,vn_kv,N,MAPE_%,Max_%,MeanSigned_%
mv_f0_lv10_f1_c37,B,3481,0.433,2,5.412466598612504,5.530063769720968,5.412466598612504
mv_f0_lv10_f1_c34,B,3475,0.433,2,5.407964982928291,5.533038134792472,5.407964982928291
mv_f0_lv10_f1_c38,B,3483,0.433,2,5.387599239474932,5.504596518251996,5.387599239474932
mv_f0_lv10_f1_n38,B,3482,0.433,2,5.384921117530463,5.501879925275334,5.384921117530463
mv_f0_lv10_f1_n39,B,3484,0.433,2,5.384908248696232,5.501863306532768,5.384908248696232
mv_f0_lv10_f1_c39,B,3485,0.433,2,5.384749921420118,5.501655878669693,5.384749921420118
mv_f0_lv10_f1_n37,B,3480,0.433,2,5.384734969556929,5.501695170180069,5.384734969556929
mv_f0_lv10_f1_n36,B,3478,0.433,2,5.373924606234199,5.490642182588121,5.373924606234199
mv_f0_lv10_f1_c36,B,3479,0.433,2,5.373068779084222,5.489411080305896,5.373068779084222
mv_f0_lv10_f1_c35,B,3477,0.433,2,5.363665834451815,5.479567765209376,5.363665834451815
mv_f0_lv10_f1_n35,B,3476,0.433,2,5.363183832512236,5.479687018043855,5.363183832512236
mv_f0_lv10_f1_n34,B,3474,0.433,2,5.352412188797192,5.468746435669941,5.352412188797192
mv_f0_lv10_f1_c33,B,3473,0.433,2,5.323849135235815,5.4379718248647215,5.323849135235815
mv_f0_lv10_f1_n33,B,3472,0.433,2,5.320385804014105,5.433207228023805,5.320385804014105
mv_f0_lv10_f1_n32,B,3470,0.433,2,5.288155428135412,5.397374665466918,5.288155428135412
mv_f0_lv10_f1_c32,B,3471,0.433,2,5.287903220904714,5.396847891186537,5.287903220904714
mv_f0_lv10_f1_c31,B,3469,0.433,2,5.256254567204699,5.36173231784821,5.256254567204699
mv_f0_lv10_f1_n31,B,3468,0.433,2,5.256055129534866,5.361781505724,5.256055129534866
mv_f0_lv10_f1_c30,B,3467,0.433,2,5.224162776943276,5.32611879116497,5.224162776943276
mv_f0_lv10_f1_n30,B,3466,0.433,2,5.2239755056135095,5.326232376134872,5.2239755056135095
mv_f0_lv31_f0_c38,A,8289,0.433,2,5.191967603171414,5.808059585966314,5.191967603171414
mv_f0_lv10_f1_n29,B,3464,0.433,2,5.191860820430696,5.2907677914479,5.191860820430696
mv_f0_lv31_f0_c37,A,8287,0.433,2,5.191636819353165,5.7827980838487365,5.191636819353165
mv_f0_lv10_f1_c29,B,3465,0.433,2,5.18342115218789,5.276070385111004,5.18342115218789
mv_f0_lv12_f2_c32,A,4159,0.433,2,5.174267653790522,5.58638772859878,5.174267653790522
mv_f0_lv31_f0_n39,A,8290,0.433,2,5.171950430991123,5.76942608882746,5.171950430991123
mv_f0_lv31_f0_c39,A,8291,0.433,2,5.171911121965058,5.769335842514827,5.171911121965058
mv_f0_lv31_f0_n38,A,8288,0.433,2,5.171862181777437,5.769227653266087,5.171862181777437
mv_f0_lv12_f2_c38,A,4171,0.433,2,5.165589541189751,5.573790241572679,5.165589541189751
mv_f0_lv12_f2_c39,A,4173,0.433,2,5.1650313509172046,5.572819703383264,5.1650313509172046
mv_f0_lv31_f0_n37,A,8286,0.433,2,5.164072570338324,5.754154955463046,5.164072570338324
mv_f0_lv12_f2_n39,A,4172,0.433,2,5.16390606296817,5.571660883191374,5.16390606296817
mv_f0_lv12_f2_n38,A,4170,0.433,2,5.163452330160797,5.571193631059748,5.163452330160797
mv_f0_lv10_f1_c28,B,3463,0.433,2,5.16303708199577,5.261062621905372,5.16303708199577
mv_f0_lv10_f1_n28,B,3462,0.433,2,5.163019295656391,5.260978125807043,5.163019295656391
mv_f0_lv12_f2_c33,A,4161,0.433,2,5.162229525018206,5.5700081621049415,5.162229525018206
mv_f0_lv12_f2_n37,A,4168,0.433,2,5.162137046050997,5.569679617621957,5.162137046050997
mv_f0_lv12_f2_c37,A,4169,0.433,2,5.161479551251204,5.569035191217651,5.161479551251204
mv_f0_lv12_f2_n36,A,4166,0.433,2,5.159149657292579,5.566501709408426,5.159149657292579
mv_f0_lv12_f2_c36,A,4167,0.433,2,5.1585797397803645,5.565519183895847,5.1585797397803645
mv_f0_lv12_f2_n35,A,4164,0.433,2,5.156214350087203,5.563410128978489,5.156214350087203
mv_f0_lv12_f2_c35,A,4165,0.433,2,5.154958764412484,5.5628817417662635,5.154958764412484
mv_f0_lv12_f2_n34,A,4162,0.433,2,5.153785986452837,5.560532312826836,5.153785986452837
mv_f0_lv12_f2_c34,A,4163,0.433,2,5.153418834722663,5.560067445676118,5.153418834722663
mv_f0_lv12_f2_n33,A,4160,0.433,2,5.150426849034924,5.556454612218581,5.150426849034924
mv_f0_lv31_f0_n36,A,8284,0.433,2,5.145728297651241,5.72811913281714,5.145728297651241
mv_f0_lv31_f0_c36,A,8285,0.433,2,5.145404917260285,5.72707155714984,5.145404917260285
mv_f0_lv12_f2_n32,A,4158,0.433,2,5.142312669758278,5.546916750745958,5.142312669758278
mv_f0_lv10_f1_n27,B,3460,0.433,2,5.134279679961656,5.231421173364946,5.134279679961656
mv_f0_lv10_f1_c27,B,3461,0.433,2,5.132413958276681,5.229489245281674,5.132413958276681
mv_f0_lv31_f0_n35,A,8282,0.433,2,5.127424325478266,5.702188395755919,5.127424325478266
mv_f0_lv31_f0_c35,A,8283,0.433,2,5.124923349710825,5.699261148907632,5.124923349710825
mv_f0_lv12_f2_n31,A,4156,0.433,2,5.121330807297021,5.521486113135952,5.121330807297021
mv_f0_lv12_f2_c31,A,4157,0.433,2,5.118954936294183,5.518770726488246,5.118954936294183
mv_f0_lv31_f0_c34,A,8281,0.433,2,5.111935373167393,5.677261553331988,5.111935373167393
mv_f0_lv31_f0_n34,A,8280,0.433,2,5.110089857182442,5.677397267427089,5.110089857182442
mv_f0_lv10_f1_c26,B,3459,0.433,2,5.1063513603609465,5.2026774138360405,5.1063513603609465
mv_f0_lv10_f1_n26,B,3458,0.433,2,5.106292104037648,5.202643562617182,5.106292104037648
mv_f0_lv12_f2_n30,A,4154,0.433,2,5.100562494735105,5.496303669132245,5.100562494735105
mv_f0_lv12_f2_c30,A,4155,0.433,2,5.100434953241683,5.4961486030924185,5.100434953241683
mv_f0_lv31_f0_c30,A,8273,0.433,2,5.095649060645604,5.643285685898266,5.095649060645604
mv_f0_lv31_f0_n33,A,8278,0.433,2,5.092639148951104,5.652654469534512,5.092639148951104
mv_f0_lv12_f2_c28,A,4151,0.433,2,5.090186207599531,5.484369402016401,5.090186207599531
mv_f0_lv31_f0_c33,A,8279,0.433,2,5.084853299881079,5.640449497750634,5.084853299881079
mv_f0_lv12_f2_c29,A,4153,0.433,2,5.080196495271336,5.472193936241184,5.080196495271336
mv_f0_lv12_f2_n29,A,4152,0.433,2,5.079493746915389,5.470749957229949,5.079493746915389
mv_f0_lv10_f1_n25,B,3456,0.433,2,5.0784821736779335,5.173981385378298,5.0784821736779335
mv_f0_lv31_f0_c32,A,8277,0.433,2,5.077472023198611,5.632042435950747,5.077472023198611
mv_f0_lv10_f1_c25,B,3457,0.433,2,5.077061447914799,5.171383098941646,5.077061447914799
