phase,dss_name,pp_index,n,mae,rmse,max_ae,mbe
a,mv_f0_lv_baringa_park_caspian,9,2,1.3570566333697176,1.357859967188639,1.4037576432172578,1.3570566333697176
a,mv_f0_lv_chatswood_fleet,2,2,0.9360455310588875,0.9860525845341833,1.2460753090661427,-0.3100297780072552
a,mv_f0_lv_chisholm_kershaw,6,2,2.14756614021244,2.209615909451875,2.6675297357803203,2.14756614021244
a,mv_f0_lv_community_harrington,16,2,0.9847391424623879,0.9855814971954546,1.0254786676986356,0.9847391424623879
a,mv_f0_lv_coral_claud,27,2,2.086573808849124,2.09567845071491,2.2817094258330712,-2.086573808849124
a,mv_f0_lv_edeys_mollisons,39,2,2.0503252561437364,2.052249418831141,2.1391735600773387,-2.0503252561437364
a,mv_f0_lv_edeys_pioneer,15,2,9.931807854296636,10.018373903693483,11.245964777779612,9.931807854296636
a,mv_f0_lv_geraldine_pauline,31,2,2.6408305688981955,2.641199433108287,2.6849707073706632,2.6408305688981955
a,mv_f0_lv_golden_cherrywood,14,2,5.762204310302398,5.764608583380431,5.9286783500678055,5.762204310302398
a,mv_f0_lv_greenview_snowdonia,3,2,4.463049683053294,4.463109630742267,4.486181968333103,4.463049683053294
a,mv_f0_lv_hadley_chesterfield,44,2,3.877320176800886,3.8773202014105554,3.87775702818945,3.877320176800886
a,mv_f0_lv_hallam_edeys,11,2,2.1711231093829184,2.3179729222582504,2.9830485445220702,2.1711231093829184
a,mv_f0_lv_hallam_rd_retirement,25,2,5.152768697326598,5.174384427985689,5.6252398185942845,5.152768697326598
a,mv_f0_lv_highmount_ormond,41,2,3.902711855829267,3.9134825530281097,4.192859858105848,-3.902711855829267
a,mv_f0_lv_jessica_geraldine,38,2,1.9731874623276475,1.994320156962458,2.2627459658804554,1.9731874623276475
a,mv_f0_lv_kershaw_ormond,4,2,8.19212306127433,8.217315456011605,8.835079554782652,8.19212306127433
a,mv_f0_lv_leopold_hazel,29,2,0.5047744001243153,0.5047746642634928,0.5052907928619774,0.5047744001243153
a,mv_f0_lv_leopold_wendy,22,2,3.522747234733803,3.522767782918319,3.5347793809511145,3.522747234733803
a,mv_f0_lv_lesley_amy,36,2,1.0496430385565763,1.0780636752992396,1.295551110017076,-1.0496430385565763
a,mv_f0_lv_lesley_carmen,33,2,5.0635980048140095,5.064920059135324,5.179315121417215,5.0635980048140095
a,mv_f0_lv_malabar_byron,5,2,3.2093706715534402,3.2475169623048474,3.7056632395315674,-3.2093706715534402
a,mv_f0_lv_meredith_harvey,18,2,8.986257567810561,9.152277509108991,10.721584202398326,8.986257567810561
a,mv_f0_lv_michelle_simon,28,2,0.5944677126416558,0.6752757588934991,0.9147886285615954,0.5944677126416558
a,mv_f0_lv_nimbus_amber,30,2,4.404387104806204,4.432110151306234,4.899336217673966,4.404387104806204
a,mv_f0_lv_norwegian_glasscocks,23,2,2.2605211314648557,2.280435212792357,2.5612352381246026,2.2605211314648557
a,mv_f0_lv_oakgrove_oxenford,1,2,1.4471238617610425,1.4550989184475838,1.5992599560619531,1.4471238617610425
a,mv_f0_lv_ormond_school,8,2,1.4302427933443047,1.4317043082498697,1.4949171959153258,1.4302427933443047
a,mv_f0_lv_ormond_strathaird,12,2,3.01188596454819,3.0354923652476886,3.3897177208030413,-3.01188596454819
a,mv_f0_lv_ormond_tangerine,40,2,2.500554730785307,2.5774336386042327,3.125366862354369,2.500554730785307
a,mv_f0_lv_p12_school_ormond,7,2,1.8338101017564004,1.8339685530952217,1.857917454127847,1.8338101017564004
a,mv_f0_lv_parkway_redwood,42,2,2.199690336608146,2.1998124937931105,2.2228728921403444,2.199690336608146
a,mv_f0_lv_raleigh_lowden,21,2,2.786528103424933,2.8297053152085305,3.27896419038694,2.786528103424933
a,mv_f0_lv_sallys_run_ormond,35,2,0.3435404319388038,0.39120365012552827,0.5306774605965145,0.3435404319388038
a,mv_f0_lv_sherwood_fleet,13,2,3.429002275465944,3.4862586878152335,4.058242319659392,3.429002275465944
a,mv_f0_lv_springfield_huntngtn,20,2,0.7295936030004064,0.755920200235713,0.927352353970587,0.7295936030004064
a,mv_f0_lv_springfield_janet,19,2,1.589988902711756,2.012235279048584,2.823287774640697,1.589988902711756
a,mv_f0_lv_springfld_katherine,17,2,0.7233027550005247,0.7452857336262456,0.9029801029202389,-0.17967734791971424
a,mv_f0_lv_tangerine_norwegian,43,2,0.9395773078237788,0.9420687422024003,1.0080462617914918,0.9395773078237788
a,mv_f0_lv_the_parkway_karkalla,32,2,1.8434468230363166,1.9427377152342828,2.4565810993828876,1.8434468230363166
a,mv_f0_lv_timms_strathaird,26,2,4.180524626606488,4.180579439820114,4.201932545313049,4.180524626606488
a,mv_f0_lv_toomah_strathard,37,2,1.189231539282341,1.2810247628473042,1.6654172058076426,-1.189231539282341
a,mv_f0_lv_tuileries_provence,10,2,6.167218764831318,6.170454397030588,6.367019096529191,6.167218764831318
a,mv_f0_lv_viewside_neesan,34,2,2.047842124320118,2.069070990176911,2.343472630614258,2.047842124320118
a,mv_f0_lv_von_nida_dulwich,24,2,5.958332423313525,5.9714367695471795,6.353720619888527,5.958332423313525
b,mv_f0_lv_baringa_park_caspian,9,2,0.7900355281617237,0.7983767227453695,0.9051409392589562,-0.7900355281617237
b,mv_f0_lv_chatswood_fleet,2,2,5.496737338816583,5.565144298319023,6.366627957901713,5.496737338816583
b,mv_f0_lv_chisholm_kershaw,6,2,4.022968175196716,4.0252435667616915,4.158293092010979,4.022968175196716
b,mv_f0_lv_community_harrington,16,2,9.74483027996506,9.747697719737248,9.98124865921434,9.74483027996506
b,mv_f0_lv_coral_claud,27,2,5.48576411700753,5.520201501153723,6.101407411369131,5.48576411700753
b,mv_f0_lv_edeys_mollisons,39,2,2.8142856848764453,2.8148426626733247,2.8702794301108128,2.8142856848764453
b,mv_f0_lv_edeys_pioneer,15,2,21.8702132189186,21.878159264384486,22.459811859360492,21.8702132189186
b,mv_f0_lv_geraldine_pauline,31,2,5.150514490146298,5.243210013984718,6.132070264181905,5.150514490146298
b,mv_f0_lv_golden_cherrywood,14,2,3.4973603274210916,3.4981938460795896,3.573720820676087,3.4973603274210916
b,mv_f0_lv_greenview_snowdonia,3,2,0.5100801172045841,0.6061383154720845,0.8375277183805494,0.3274476011759653
b,mv_f0_lv_hadley_chesterfield,44,2,2.1797127100940035,2.241194516632094,2.701062269254095,2.1797127100940035
b,mv_f0_lv_hallam_edeys,11,2,7.340932439799008,7.340936245541309,7.348407425331359,7.340932439799008
b,mv_f0_lv_hallam_rd_retirement,25,2,3.622964985707159,3.629315644146967,3.837573366694107,3.622964985707159
b,mv_f0_lv_highmount_ormond,41,2,5.782152841219485,5.783680227359751,5.915064440147418,5.782152841219485
b,mv_f0_lv_jessica_geraldine,38,2,3.4683641679330357,3.4904940197930485,3.860790595189428,3.4683641679330357
b,mv_f0_lv_kershaw_ormond,4,2,10.881312142299848,10.881555918823015,10.95414947002439,10.881312142299848
b,mv_f0_lv_leopold_hazel,29,2,2.6856091780095674,2.814692997021286,3.5282241615408623,2.6856091780095674
b,mv_f0_lv_leopold_wendy,22,2,0.8700771208309845,0.8737460503894409,0.9500643971792364,0.8700771208309845
b,mv_f0_lv_lesley_amy,36,2,2.6510134663973552,2.672978737622737,2.9929826649564077,2.6510134663973552
b,mv_f0_lv_lesley_carmen,33,2,0.7627270915440914,0.7985568138055201,0.9992442551917122,0.7627270915440914
b,mv_f0_lv_malabar_byron,5,2,5.000797930849711,5.021110586217333,5.451986997464822,5.000797930849711
b,mv_f0_lv_meredith_harvey,18,2,2.1019352371800224,2.9392278620069003,4.156425121189827,-2.1019352371800224
b,mv_f0_lv_michelle_simon,28,2,4.966732351139477,4.966997852083234,5.018088117553603,4.966732351139477
b,mv_f0_lv_nimbus_amber,30,2,3.5822085003430395,3.635523621232264,4.202542491518621,-3.5822085003430395
b,mv_f0_lv_norwegian_glasscocks,23,2,7.223431315531091,7.229762134896143,7.525921905438963,7.223431315531091
b,mv_f0_lv_oakgrove_oxenford,1,2,3.3678274500405987,3.5429689371649826,4.467994326686593,3.3678274500405987
b,mv_f0_lv_ormond_school,8,2,0.8648698043245764,0.8657540156923809,0.9039880514102041,0.8648698043245764
b,mv_f0_lv_ormond_strathaird,12,2,3.2476325677614106,3.268388145798028,3.6153876172284427,3.2476325677614106
b,mv_f0_lv_ormond_tangerine,40,2,3.109886495229741,3.2048194050327483,3.884143174672765,3.109886495229741
b,mv_f0_lv_p12_school_ormond,7,2,1.8337317189357396,1.833889023217458,1.8577511370481723,1.8337317189357396
b,mv_f0_lv_parkway_redwood,42,2,4.351383837921542,4.398545976085908,4.993774216754161,4.351383837921542
b,mv_f0_lv_raleigh_lowden,21,2,0.56850224438627,0.5698612159252878,0.6078342103124896,-0.56850224438627
b,mv_f0_lv_sallys_run_ormond,35,2,0.4372545592335406,0.5443190208300098,0.7614329774954953,0.4372545592335406
b,mv_f0_lv_sherwood_fleet,13,2,3.2178490715496473,3.3187286646537286,4.029888049876053,3.2178490715496473
b,mv_f0_lv_springfield_huntngtn,20,2,0.22104659600576682,0.25986702905968384,0.3576821520904474,0.1366355560846806
b,mv_f0_lv_springfield_janet,19,2,16.846773739211287,16.853710229968755,17.330264272287558,16.846773739211287
b,mv_f0_lv_springfld_katherine,17,2,10.356772293961708,10.358605020120525,10.551619962393438,10.356772293961708
b,mv_f0_lv_tangerine_norwegian,43,2,1.3876146873965958,1.5364595327817534,2.0473368828676684,1.3876146873965958
b,mv_f0_lv_the_parkway_karkalla,32,2,0.7944644381922572,0.9708617645252866,1.3524956400663228,0.7944644381922572
b,mv_f0_lv_timms_strathaird,26,2,2.9556040661433975,2.956282176063565,3.0189200096943054,2.9556040661433975
b,mv_f0_lv_toomah_strathard,37,2,2.0066898595872154,2.007377517863558,2.0592284801810337,2.0066898595872154
b,mv_f0_lv_tuileries_provence,10,2,0.7930595864948593,0.8979443864186676,1.214201621168911,-0.42114203467405176
b,mv_f0_lv_viewside_neesan,34,2,1.7247729874058138,1.7267530417404766,1.8074422626851607,1.7247729874058138
b,mv_f0_lv_von_nida_dulwich,24,2,2.247455235701576,2.426604408593572,3.162525680707496,2.247455235701576
c,mv_f0_lv_baringa_park_caspian,9,2,6.552641167538063,6.555161817507972,6.734410755753036,6.552641167538063
c,mv_f0_lv_chatswood_fleet,2,2,5.017919110276143,5.033701621596362,5.416215253851902,5.017919110276143
c,mv_f0_lv_chisholm_kershaw,6,2,3.545052914837818,3.6236735347691953,4.29579236204075,3.545052914837818
c,mv_f0_lv_community_harrington,16,2,3.5319311309266954,3.5321243608800734,3.5688768629310665,-3.5319311309266954
c,mv_f0_lv_coral_claud,27,2,5.714338757969728,5.736533925727542,6.218475684000779,5.714338757969728
c,mv_f0_lv_edeys_mollisons,39,2,8.235224314954952,8.238468387934645,8.466399273316,8.235224314954952
c,mv_f0_lv_edeys_pioneer,15,2,6.853950994846958,7.014144431792471,8.344446841966878,-6.853950994846958
c,mv_f0_lv_geraldine_pauline,31,2,1.0386787829853592,1.1627002219150067,1.5611902104367203,1.0386787829853592
c,mv_f0_lv_golden_cherrywood,14,2,0.3403782575523877,0.3453041286390883,0.3984952347690367,-0.05811697721664899
c,mv_f0_lv_greenview_snowdonia,3,2,2.0103203560880374,2.1946507860576054,2.8907203439579447,2.0103203560880374
c,mv_f0_lv_hadley_chesterfield,44,2,1.1031937411155823,1.1826388225696105,1.5293370904855337,1.1031937411155823
c,mv_f0_lv_hallam_edeys,11,2,0.9373678194858925,1.0384322939815969,1.3842270816436155,-0.9373678194858925
c,mv_f0_lv_hallam_rd_retirement,25,2,1.029020739370825,1.393904759502256,1.9692796380299988,-0.9402588986591738
c,mv_f0_lv_highmount_ormond,41,2,6.005294970057646,6.006370970276613,6.118981183742356,6.005294970057646
c,mv_f0_lv_jessica_geraldine,38,2,2.636778708506771,2.651509012368675,2.9158809926924647,2.636778708506771
c,mv_f0_lv_kershaw_ormond,4,2,8.54968385223144,8.57591810616975,9.21996542785704,-8.54968385223144
c,mv_f0_lv_leopold_hazel,29,2,5.026019169763323,5.078011306745189,5.7508157871696,5.026019169763323
c,mv_f0_lv_leopold_wendy,22,2,1.3051407985719887,1.3054835265484825,1.3350529030170755,1.3051407985719887
c,mv_f0_lv_lesley_amy,36,2,3.334510878723999,3.381141037938439,3.8941106625898687,3.334510878723999
c,mv_f0_lv_lesley_carmen,33,2,1.6234453324063693,1.6304425036431573,1.7743360556935883,1.6234453324063693
c,mv_f0_lv_malabar_byron,5,2,5.88863381070723,5.888788869988176,5.931367856762627,5.88863381070723
c,mv_f0_lv_meredith_harvey,18,2,3.178903591150913,3.2369093507415077,3.788947936330537,3.178903591150913
c,mv_f0_lv_michelle_simon,28,2,1.8121995449249866,1.858154683999973,2.222896074061417,1.8121995449249866
c,mv_f0_lv_nimbus_amber,30,2,7.218418383335084,7.225446960292849,7.537040132648087,7.218418383335084
c,mv_f0_lv_norwegian_glasscocks,23,2,0.300236982353681,0.30026863238798107,0.3045965721628221,0.0043595898091410845
c,mv_f0_lv_oakgrove_oxenford,1,2,3.4009262286518993,3.422190664309297,3.7818326871863768,3.4009262286518993
c,mv_f0_lv_ormond_school,8,2,2.3486673812525254,2.349060886641887,2.391662513432486,2.3486673812525254
c,mv_f0_lv_ormond_strathaird,12,2,7.632507047079475,7.63473633734791,7.816993136264379,7.632507047079475
c,mv_f0_lv_ormond_tangerine,40,2,1.4758661568971778,1.4780189861683073,1.5556108143956315,1.4758661568971778
c,mv_f0_lv_p12_school_ormond,7,2,1.83436443203653,1.8345230184053785,1.8584856993846444,1.83436443203653
c,mv_f0_lv_parkway_redwood,42,2,1.6610847229319567,1.7558818473431976,2.2302231991145334,1.6610847229319567
c,mv_f0_lv_raleigh_lowden,21,2,5.060534013584039,5.066311376061453,5.302415092977839,5.060534013584039
c,mv_f0_lv_sallys_run_ormond,35,2,4.361099662299001,4.368633360593344,4.617550778078666,4.361099662299001
c,mv_f0_lv_sherwood_fleet,13,2,0.06583599416768848,0.0733001696650117,0.0980623303676289,-0.03222633619994042
c,mv_f0_lv_springfield_huntngtn,20,2,3.8020168825845273,3.802288730295703,3.84748349754474,3.8020168825845273
c,mv_f0_lv_springfield_janet,19,2,1.5716756282779212,1.5919151627724266,1.8247163462305132,0.253040717952592
c,mv_f0_lv_springfld_katherine,17,2,1.9416203527580311,2.0972397971733505,2.7344161477793563,-1.9416203527580311
c,mv_f0_lv_tangerine_norwegian,43,2,6.9736607892497595,7.030977169587669,7.869593351300864,6.9736607892497595
c,mv_f0_lv_the_parkway_karkalla,32,2,5.461824019504537,5.463587331419695,5.600622103111952,5.461824019504537
c,mv_f0_lv_timms_strathaird,26,2,1.075155371838001,1.1003366050800785,1.309210004107996,1.075155371838001
c,mv_f0_lv_toomah_strathard,37,2,6.8132660697388605,6.851435473423957,7.535466533209604,6.8132660697388605
c,mv_f0_lv_tuileries_provence,10,2,3.3144258199784673,3.429742574899904,4.196307679379764,3.3144258199784673
c,mv_f0_lv_viewside_neesan,34,2,1.7827455717579426,1.7997908074034916,2.029859263793732,1.7827455717579426
c,mv_f0_lv_von_nida_dulwich,24,2,0.8704333278198959,1.1504245410829304,1.622645031096475,0.7522117032765792
