bus_name,pp_bus_idx,N,MAPE_%,Max_%,MeanSigned_%,MAE_pu,MaxAbsDiff_pu
mv_f0_lv13_f1_c37,4385,2,5.72419211782999,5.730348082547699,-5.72419211782999,0.06113583804078515,0.061278072134624884
mv_f0_lv13_f2_c39,4469,2,5.724177256523889,5.829572086411877,-5.724177256523889,0.06107507845431437,0.06227074681739486
mv_f0_lv13_f2_c38,4467,2,5.722009499994256,5.825946051622844,-5.722009499994256,0.061055520320880685,0.06223587320125734
mv_f0_lv13_f2_n39,4468,2,5.721765033210313,5.826802974017702,-5.721765033210313,0.06105225884330667,0.06224428496382273
mv_f0_lv13_f1_c39,4389,2,5.721226104757578,5.727788368445292,-5.721226104757578,0.06110303148592078,0.061249837985393185
mv_f0_lv13_f1_c38,4387,2,5.721182772599953,5.727453720147756,-5.721182772599953,0.06110302829883607,0.06124654090078163
mv_f0_lv13_f1_n39,4388,2,5.7211210344258365,5.727478143476248,-5.7211210344258365,0.06110253647668018,0.0612470154410818
mv_f0_lv13_f1_n38,4386,2,5.721072115010494,5.727333410957912,-5.721072115010494,0.06110230654729465,0.06124569847480399
mv_f0_lv13_f1_n37,4384,2,5.7209717137990195,5.727132721563737,-5.7209717137990195,0.06110174141925129,0.06124399031536476
mv_f0_lv13_f2_n38,4466,2,5.720643879648582,5.825515698649134,-5.720643879648582,0.061041659153598604,0.06223199021244086
mv_f0_lv13_f1_c36,4383,2,5.720582986568498,5.726377095443174,-5.720582986568498,0.061097325936900426,0.061235717536482825
mv_f0_lv13_f1_c33,4377,2,5.719992643054523,5.726162907271729,-5.719992643054523,0.06109518110608958,0.061237083192916764
mv_f0_lv13_f1_n36,4382,2,5.719369188263788,5.725432290211427,-5.719369188263788,0.061085271907990846,0.06122638501755384
mv_f0_lv13_f2_n37,4464,2,5.718885509274045,5.824027351765551,-5.718885509274045,0.06102459040099595,0.06221787954728253
mv_f0_lv13_f2_c37,4465,2,5.718743045723224,5.823982493192968,-5.718743045723224,0.0610222970634573,0.06221665647712116
mv_f0_lv13_f2_c36,4463,2,5.717606905115263,5.822950151830254,-5.717606905115263,0.06101261568009153,0.06220811400047621
mv_f0_lv13_f1_n35,4380,2,5.71720085147579,5.723291515662277,-5.71720085147579,0.06106318312640491,0.06120442997361342
mv_f0_lv13_f2_n36,4462,2,5.717194687356766,5.822560997547979,-5.717194687356766,0.06100860255842355,0.06220435040084227
mv_f0_lv13_f1_c35,4381,2,5.7171928209858525,5.723286764740665,-5.7171928209858525,0.061062813888050904,0.06120409778234559
mv_f0_lv13_f2_c31,4453,2,5.716447680073834,5.82692096283416,-5.716447680073834,0.06101261103819222,0.06226342017869779
mv_f0_lv13_f2_c35,4461,2,5.7157614568068755,5.821474780565329,-5.7157614568068755,0.06099526908294295,0.06219484831126709
mv_f0_lv13_f2_n35,4460,2,5.715311587444828,5.820913071200134,-5.715311587444828,0.06099074132949134,0.062189063817674084
mv_f0_lv13_f1_n34,4378,2,5.715036361602181,5.721152997815028,-5.715036361602181,0.06104126677184274,0.061182629510494024
mv_f0_lv13_f1_c34,4379,2,5.715034678078767,5.721093649640008,-5.715034678078767,0.061041022744740325,0.061181801785650025
mv_f0_lv13_f2_c34,4459,2,5.713662902022753,5.819133162353119,-5.713662902022753,0.06097529160204407,0.06217224507911734
mv_f0_lv13_f2_n34,4458,2,5.713218679145887,5.8190032226426,-5.713218679145887,0.06097076676525981,0.06217107845418868
mv_f0_lv13_f1_n33,4376,2,5.712872668982492,5.719042194647788,-5.712872668982492,0.06101946333793462,0.06116121459269852
